year,name,artists,album,popularity,release_date
2001,Drive,Incubus,Monuments And Melodies,0,2009-06-11
2001,All For You,Janet Jackson,All For You,0,2001-04-24
2001,I Just Wanna Love U (Give It 2 Me),JAY-Z,The Hits Collection Volume One (Deluxe),33,2010-11-22
2001,Never Had A Dream Come True,S Club,Best - The Greatest Hits,0,2003-01-01
2001,South Side,Moby,Play,0,1999
2001,Fill Me In,Craig David,Fill Me In (88100),0,2000-04-03
2001,With Arms Wide Open,Creed,Greatest Hits,0,2004
2002,Foolish,Ashanti,Ashanti,77,2002-01-01
2002,Hot In Herre,Nelly,6 Pack (Edited Version),0,2010-10-12
2002,Always On Time,"Ja Rule, Ashanti",Ultimate R&B Love 2008 (International Version),0,2008-01-01
2002,Dilemma,"Nelly, Kelly Rowland",Songs About Love (UMGI Version),0,2010-01-01
2002,Excuse Me Miss,JAY-Z,The Blueprint 2: The Gift & The Curse,58,2002-11-12
2002,Ain't It Funny,Jennifer Lopez,J.Lo,0,2001-01-19
2002,What's Luv? (feat. Ja-Rule & Ashanti),"Fat Joe, Ja Rule, Ashanti",Jealous Ones Still Envy (J.O.S.E),79,2001-12-04
2002,U Got It Bad,USHER,8701,75,2001-08-07
2002,03' Bonnie & Clyde,"JAY-Z, Beyoncé",The Blueprint 2: The Gift & The Curse,71,2002-11-12
2002,Break Ya Neck,Busta Rhymes,Genesis,6,2001-11-13
2002,Miny Moe,Sean Sahand,Miny Moe,9,2019-09-20
2002,I Need a Girl (Pt. 1) [feat. Usher & Loon],"Diddy, Loon, USHER",R&B Hits,67,2005-10-04
2002,Hey Baby,"No Doubt, Bounty Killer",The Singles Collection,0,2003-01-01
2002,Opinion,Haley Sullivan,Opinion,3,2019-12-04
2002,Complicated,Avril Lavigne,Under My Skin/Let Go,0,2002
2002,In the End,Linkin Park,Hybrid Theory (Bonus Edition),90,2000-10-24
2002,U Don't Have to Call,USHER,8701,66,2001-08-07
2002,Family Affair,Mary J. Blige,No More Drama,2,2001-08-28
2002,Gangsta Lovin',"Eve, Alicia Keys",Eve-Olution [International Version (Explicit)],0,2002-01-01
2002,Without Me,Eminem,Curtain Call (Deluxe),2,2005-12-06
2002,Nothin',N.O.R.E.,Ultimate R&B (International Version),0,2006-01-01
2002,Get the Party Started,P!nk,Greatest Hits...So Far!!!,37,2010-11-12
2002,I'm Gonna Be Alright,"Jennifer Lopez, Cory Rooney, Poke and Tone",J To Tha L-O! The Remixes (Explicit Version),0,1999
2002,"Whenever, Wherever",Shakira,Servicio De Lavandería,65,2001
2002,Girlfriend,*NSYNC,The Collection,28,2010-01-22
2002,Don't Let Me Get Me - Radio Edit,P!nk,Greatest Hits...So Far!!!,33,2010-11-12
2002,Hero,Enrique Iglesias,Greatest Hits,49,2008-01-01
2002,A Thousand Miles,Vanessa Carlton,True Power-Ballads / 3CD set,0,2007-01-01
2002,Hero (feat. Josey Scott),"Chad Kroeger, Josey Scott",Hero (feat. Josey Scott),71,2003
2002,All You Wanted,Michelle Branch,The Spirit Room,66,2001-07-31
2002,Wasting My Time,Default,The Fallout (Limited Edition),61,2001
2002,The Middle,Jimmy Eat World,Bleed American (Deluxe Edition),6,2001
2002,Blurry,Puddle Of Mudd,Blurry (International Version),0,2002-01-01
2002,How You Remind Me,Nickelback,Silver Side Up,87,2001-09-11
2002,Wherever You Will Go,The Calling,The Best Of...,60,2011-02-04
2002,One Last Breath,Creed,Greatest Hits,0,2004
2002,Oh Boy,"Cam'ron, Juelz Santana",Come Home With Me,3,2002-01-01
2002,My Sacrifice,Creed,Greatest Hits,0,2004
2002,Heaven,"DJ Sammy, Yanou, Do",Heaven,65,2002-08-06
2002,Just a Friend 2002 - Radio Edit,Mario,Mario,63,2002-07-22
2002,Soak Up The Sun,Sheryl Crow,Sheryl Crow - Hits & Rarities (International Version),0,2007-01-01
2002,Personal,Jacinta Lal,Personal,0,2019-10-04
2002,Oops (Oh My) [feat. Missy Elliott],"Tweet, Missy Elliott",Southern Hummingbird,62,2002-04-02
2002,A Moment Like This,Kelly Clarkson,Thankful,46,2003-09-29
2002,Addictive,"Truth Hurts, Rakim",Truthfully Speaking,0,2002-01-01
2002,Happy,Ashanti,Ashanti,66,2002-01-01
2002,No Such Thing - Demo Version,John Mayer,Inside Wants Out,0,1999
2002,Just Like a Pill,P!nk,Greatest Hits...So Far!!!,43,2010-11-12
2002,Down 4 U,"Charli Baltimore, Ja Rule, Ashanti, Vita",Irv Gotti Presents... The Inc.,50,2002-01-01
2002,Can't Get You out of My Head,Kylie Minogue,Fever (Deluxe Edition),50,2001-10-01
2002,Superman (It's Not Easy),Five For Fighting,Smallville: The Talon Mix,0,2003-02-25
2002,Cleanin' Out My Closet,Eminem,Curtain Call (Deluxe),1,2005-12-06
2002,Halfcrazy,Smooth Jazz All Stars,Musiq Soulchild Smooth Jazz Tribute,0,2007-08-28
2002,"Lights, Camera, Action!",Mr. Cheeks,FB Entertainment Presents: The Good Life,27,2001-01-01
2002,Still Fly,Big Tymers,Hood Rich,67,2002-01-01
2002,A Woman's Worth,Alicia Keys,Songs In A Minor (Expanded Edition),0,2001-06-26
2002,7 Days,Craig David,Greatest Hits (Spanish Standard DMD),0,2008-11-24
2002,Hey Ma,"Cam'ron, Juelz Santana, Freekey Zeekey, Toya",Ultimate R&B (International Version),0,2006-01-01
2002,Work It,Missy Elliott,Under Construction,74,2002-11-12
2002,Move Bitch,"Disturbing Tha Peace, Ludacris, Mystikal, I-20",Word Of Mouf,1,2001-01-01
2002,Escape,Enrique Iglesias,Greatest Hits,48,2008-01-01
2002,More Than a Woman,Aaliyah,Aaliyah,0,2001-01-01
2002,Hella Good,No Doubt,The Singles Collection,0,2003-01-01
2002,I Love You,Faith Evans,Faithfully,56,2001
2002,Gotta Get Thru This - D'N'D Radio Edit,Daniel Bedingfield,Lost & Found: Noughties Pop Volume 1,0,2007
2002,Suga Suga,"Baby Bash, Frankie J",Tha Smokin' Nephew,75,2003-01-01
2002,Pass the Courvoisier Part II (feat. P. Diddy & Pharrell),"Busta Rhymes, Diddy, Pharrell Williams",Genesis,14,2001-11-13
2002,Lose Yourself - Soundtrack Version,Eminem,Lose Yourself (International Version),4,2002-11-13
2002,Butterflies,Michael Jackson,Invincible,0,2001-10-29
2002,What About Us?,Brandy,Full Moon,48,2002-02-25
2002,Underneath Your Clothes,Shakira,Servicio De Lavandería,57,2001
2002,Rainy Dayz,"Mary J. Blige, Ja Rule",No More Drama,0,2001-08-28
2002,Differences,Ginuwine,Greatest Hits,50,2006
2002,If I Could Go!,"Angie Martinez, Lil Mo",Renaissance presents Pacha Ibiza - Volume 2,0,2011-11-03
2002,Underneath It All,"No Doubt, Lady Saw",The Singles Collection,47,2003-01-01
2002,Caramel,"City High, Eve",City High,52,2001-01-01
2002,Luv U Better,LL COOL J,All World 2,0,2009-12-08
2002,Gimme the Light,Sean Paul,Dutty Rock,0,2002-11-12
2002,Gone,*NSYNC,Celebrity,58,2001-07-23
2002,Livin' It Up,"Ja Rule, Case",The Ultimate Workout Collection: Blood Sweat And Tears,39,2009-01-01
2002,Rollout (My Business),Ludacris,Word Of Mouf,62,2001-01-01
2002,Here Is Gone,The Goo Goo Dolls,Greatest Hits Volume One - The Singles,44,2007-11-06
2002,Family Affair,Mary J. Blige,No More Drama,2,2001-08-28
2002,Days Go By,Dirty Vegas,Dirty Vegas,0,2002-06-04
2002,Baby,Ashanti,Ashanti,62,2002-01-01
